MCAnum	Po-209	Po-209_err	Po-210	Po-210_err	Po-209_start	Po-209_end	Po-210_start	Po-210_end	total_alpha_3_8
1	0.000488281	0.018002057	0	0	16.82	18.1	18.1	19.1	0.21
2	0.000244124	0.007414638	0.000244124	0.011620278	16.86	18.1	18.1	19.1	0.21
3	0.000488198	0.015277778	0.000732297	0.001388889	16.87	18.1	18.1	19.1	0.21
4	0.000732204	0.014248809	0.001464409	0	16.93	18.1	18.1	19.1	0.22
5	0.000244047	0.020365109	0	0.001388889	16.93	18.1	18.1	19.1	0.21
6	0.000732055	0.012441995	0.000488037	0.000982093	16.89	18.1	18.1	19.1	0.21
7	0.016666667	0.013102752	0.002083333	0.000694444	16.93	18.1	18.1	19.2	0.21
8	0.010489724	0.013176157	0.000487894	0	16.88	18	18	19.1	0.22
9	0.400854319	0.014706818	0.002413331	0	9.01	9.55	9.55	10.5	0.20
10	0.243536468	0.014706818	0.001206821	0	7.75	8.5	8.5	10.5	0.20
11	0.245965941	0.014706818	0.000965519	0	7.86	8.4	8.4	10.5	0.20
12	0.248899547	0.014706818	0.000965663	0	7.85	8.5	8.5	10.5	0.20
13	0.332855947	0.008533476	0.001206874	0.002405626	7.84	8.6	8.6	10.5	0.26
14	0.218602554	0.014706818	0.000724649	0	7.92	8.62	8.62	9.5	0.27
15	0.236065415	0.008304348	0.001449736	0.001552825	7.73	8.62	8.62	9.3	0.28
16	0.22726998	0.008216777	0.000241777	0.003739698	6.17	6.6	6.6	7.2	0.26